"filename", "language", "Lua", "CSS", "MS SQL", "HTML", "JavaScript", "Markdown", "XML", "YAML", "JSON", "vue", "comment", "blank", "total"
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\DCommands\client.lua", "Lua", -56, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -18, -95
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\DCommands\fxmanifest.lua", "Lua", -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -17
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\DCommands\server.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Immo\client\catalogue.lua", "Lua", -140, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -28, -173
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Immo\client\client.lua", "Lua", -1088, 0, 0, 0, 0, 0, 0, 0, 0, 0, -75, -279, -1442
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Immo\config.lua", "Lua", -1115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -1122
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Immo\fxmanifest.lua", "Lua", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -6, -36
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Immo\html\index.html", "HTML", 0, 0, 0, -76, 0, 0, 0, 0, 0, 0, 0, -15, -91
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Immo\html\script.js", "JavaScript", 0, 0, 0, 0, -431, 0, 0, 0, 0, 0, -6, -110, -547
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Immo\html\style.css", "CSS", 0, -953, 0, 0, 0, 0, 0, 0, 0, 0, -30, -203, -1186
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Immo\server\server.lua", "Lua", -465, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -74, -547
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\client\client-jobmenu.lua", "Lua", -111, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -30, -145
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\client\function_utils.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -36, -3, -39
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\client\interaction.lua", "Lua", -57, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -9, -72
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\client\nui_callbacks.lua", "Lua", -100, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -34, -144
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\config.lua", "Lua", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -31
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\fxmanifest.lua", "Lua", -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -31
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\html\index.html", "HTML", 0, 0, 0, -64, 0, 0, 0, 0, 0, 0, 0, -5, -69
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\html\script.js", "JavaScript", 0, 0, 0, 0, -171, 0, 0, 0, 0, 0, -6, -33, -210
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\html\style.css", "CSS", 0, -217, 0, 0, 0, 0, 0, 0, 0, 0, -3, -37, -257
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\Pipou-Jobs\server\server-jobmenu.lua", "Lua", -67, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -20, -90
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\client.lua", "Lua", -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7, -25
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\fxmanifest.lua", "Lua", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -6, -26
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\index.html", "HTML", 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, -3, -27
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\script.js", "JavaScript", 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, -4, -27, -79
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\style.css", "CSS", 0, -118, 0, 0, 0, 0, 0, 0, 0, 0, -2, -15, -135
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\README.md", "Markdown", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3, -6
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\index.html", "HTML", 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, -1, -14
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1909, 0, 0, -1, -1910
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, -1, -23
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\postcss.config.js", "JavaScript", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -2, -10
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, -68, -2, -16, -86
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\assets\main.css", "CSS", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\components\Casier.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, -57, 0, -12, -69
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, -37, 0, -7, -44
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\components\Menue.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, -5, -30
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\components\Rapports.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, -109, -2, -21, -132
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\components\Vehicules.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, -5, -30
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\main.js", "JavaScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\src\style.css", "CSS", 0, -113, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -133
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\tailwind.config.js", "JavaScript", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\html\tablette-police\vite.config.js", "JavaScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, -1, -2, -8
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-MDT\server.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\d-bucheron\client.lua", "Lua", -600, 0, 0, 0, 0, 0, 0, 0, 0, 0, -110, -175, -885
